111110,Soybean Farming,0.488,0.044,0.532,1111A0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111120,Oilseed (except Soybean) Farming,0.488,0.044,0.532,1111A0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111130,Dry Pea and Bean Farming,0.809,0.04,0.848,1111B0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111140,Wheat Farming,0.809,0.04,0.848,1111B0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111150,Corn Farming,0.809,0.04,0.848,1111B0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111160,Rice Farming,0.809,0.04,0.848,1111B0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111191,Oilseed and Grain Combination Farming,0.809,0.04,0.848,1111B0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111199,All Other Grain Farming,0.809,0.04,0.848,1111B0,"All GHGs, kg CO2e/2022 USD, purchaser price"
111211,Potato Farming,0.591,0.041,0.631,111200,"All GHGs, kg CO2e/2022 USD, purchaser price"
111219,Other Vegetable (except Potato) and Melon Farming,0.591,0.041,0.631,111200,"All GHGs, kg CO2e/2022 USD, purchaser price"
111310,Orange Groves,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111320,Citrus (except Orange) Groves,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111331,Apple Orchards,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111332,Grape Vineyards,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111333,Strawberry Farming,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111334,Berry (except Strawberry) Farming,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111335,Tree Nut Farming,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111336,Fruit and Tree Nut Combination Farming,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
111339,Other Noncitrus Fruit Farming,0.429,0.059,0.488,111300,"All GHGs, kg CO2e/2022 USD, purchaser price"
